paramCombinations_1,paramCombinations_2,numDetectedFeatures,meanScore,varianceLocation_m,varianceLocation_n,meanScoreTop,varianceLocationTop_m,varianceLocationTop_n,computationTime,is_default
0.275862068965517,0.241379310344828,97,80.0927810668945,2971.09838867188,2250.62719726563,81.1500015258789,290.471069335938,86.5263137817383,0.0010386,0
0.275862068965517,0.275862068965517,70,85.5999984741211,2758.37451171875,2417.02465820313,86.0999984741211,655.831604003906,109.144737243652,0.0014193,0
0.275862068965517,0.310344827586207,44,92.75,2724.53857421875,2581.69116210938,94.25,1785.20764160156,564.155212402344,0.0010703,0
0.275862068965517,0.344827586206897,26,100,2771.13818359375,2872.73876953125,100.900001525879,2697.30541992188,1382.15783691406,0.0010337,0
0.275862068965517,0.379310344827586,15,105.266670227051,2777.71435546875,2915.60009765625,0,0,0,0.0018191,0
0.275862068965517,0.413793103448276,5,113.599998474121,3134,2317.19995117188,0,0,0,0.0040099,0
0.275862068965517,0.448275862068966,1,124,5512.5,5512.5,0,0,0,0.0025927,0
0.275862068965517,0.482758620689655,1,124,5512.5,5512.5,0,0,0,0.0017454,0
0.275862068965517,0.517241379310345,0,NaN,NaN,NaN,0,0,0,0.002082,0
0.275862068965517,0.551724137931034,0,NaN,NaN,NaN,0,0,0,0.0023949,0
0.275862068965517,0.586206896551724,0,NaN,NaN,NaN,0,0,0,0.0014374,0
0.275862068965517,0.620689655172414,0,NaN,NaN,NaN,0,0,0,0.0011627,0
0.275862068965517,0.655172413793103,0,NaN,NaN,NaN,0,0,0,0.0039142,0
0.275862068965517,0.689655172413793,0,NaN,NaN,NaN,0,0,0,0.0017531,0
0.275862068965517,0.724137931034483,0,NaN,NaN,NaN,0,0,0,0.0019833,0
0.275862068965517,0.758620689655172,0,NaN,NaN,NaN,0,0,0,0.0016561,0
0.275862068965517,0.793103448275862,0,NaN,NaN,NaN,0,0,0,0.0022845,0
0.275862068965517,0.827586206896552,0,NaN,NaN,NaN,0,0,0,0.0019474,0
0.275862068965517,0.862068965517241,0,NaN,NaN,NaN,0,0,0,0.0016809,0
0.275862068965517,0.896551724137931,0,NaN,NaN,NaN,0,0,0,0.0015809,0
0.275862068965517,0.931034482758621,0,NaN,NaN,NaN,0,0,0,0.001171,0
0.275862068965517,0.96551724137931,0,NaN,NaN,NaN,0,0,0,0.0011941,0
0.275862068965517,0.999,0,NaN,NaN,NaN,0,0,0,0.0023862,0
0.310344827586207,0.001,443,54.7088050842285,2476.83349609375,2628.24780273438,53.8499984741211,780.976318359375,10.4842090606689,0.0034767,0
0.310344827586207,0.0344827586206897,443,54.7088050842285,2476.83349609375,2628.24780273438,53.8499984741211,780.976318359375,10.4842090606689,0.0017643,0
0.310344827586207,0.0689655172413793,443,54.7088050842285,2476.83349609375,2628.24780273438,53.8499984741211,780.976318359375,10.4842090606689,0.0021785,0
0.310344827586207,0.103448275862069,443,54.7088050842285,2476.83349609375,2628.24780273438,53.8499984741211,780.976318359375,10.4842090606689,0.001273,0
0.310344827586207,0.137931034482759,443,54.7088050842285,2476.83349609375,2628.24780273438,53.8499984741211,780.976318359375,10.4842090606689,0.0011462,0
0.310344827586207,0.172413793103448,327,59.5474014282227,2606.16137695313,2590.08349609375,57.4500007629395,741.60791015625,6.27368497848511,0.0022321,0
0.310344827586207,0.206896551724138,178,69.4887619018555,3000.29809570313,2563.01171875,69.9499969482422,272.252624511719,39.4842071533203,0.0012369,0
0.310344827586207,0.241379310344828,97,80.0927810668945,2971.09838867188,2250.62719726563,81.1500015258789,290.471069335938,86.5263137817383,0.0012807,0
0.310344827586207,0.275862068965517,70,85.5999984741211,2758.37451171875,2417.02465820313,86.0999984741211,655.831604003906,109.144737243652,0.001178,0
0.310344827586207,0.310344827586207,44,92.75,2724.53857421875,2581.69116210938,94.25,1785.20764160156,564.155212402344,0.0017492,0
0.310344827586207,0.344827586206897,26,100,2771.13818359375,2872.73876953125,100.900001525879,2697.30541992188,1382.15783691406,0.0018548,0
0.310344827586207,0.379310344827586,15,105.266670227051,2777.71435546875,2915.60009765625,0,0,0,0.0027516,0
0.310344827586207,0.413793103448276,5,113.599998474121,3134,2317.19995117188,0,0,0,0.0016675,0
0.310344827586207,0.448275862068966,1,124,5512.5,5512.5,0,0,0,0.0011199,0
0.310344827586207,0.482758620689655,1,124,5512.5,5512.5,0,0,0,0.0009796,0
0.310344827586207,0.517241379310345,0,NaN,NaN,NaN,0,0,0,0.0009675,0
0.310344827586207,0.551724137931034,0,NaN,NaN,NaN,0,0,0,0.0009843,0
0.310344827586207,0.586206896551724,0,NaN,NaN,NaN,0,0,0,0.00094,0
0.310344827586207,0.620689655172414,0,NaN,NaN,NaN,0,0,0,0.0009403,0
0.310344827586207,0.655172413793103,0,NaN,NaN,NaN,0,0,0,0.0010712,0
0.310344827586207,0.689655172413793,0,NaN,NaN,NaN,0,0,0,0.0009457,0
0.310344827586207,0.724137931034483,0,NaN,NaN,NaN,0,0,0,0.001497,0
0.310344827586207,0.758620689655172,0,NaN,NaN,NaN,0,0,0,0.0014381,0
0.310344827586207,0.793103448275862,0,NaN,NaN,NaN,0,0,0,0.0010224,0
0.310344827586207,0.827586206896552,0,NaN,NaN,NaN,0,0,0,0.0009624,0
0.310344827586207,0.862068965517241,0,NaN,NaN,NaN,0,0,0,0.0009337,0
0.310344827586207,0.896551724137931,0,NaN,NaN,NaN,0,0,0,0.0009392,0
0.310344827586207,0.931034482758621,0,NaN,NaN,NaN,0,0,0,0.0010577,0
0.310344827586207,0.96551724137931,0,NaN,NaN,NaN,0,0,0,0.0010599,0
0.310344827586207,0.999,0,NaN,NaN,NaN,0,0,0,0.0010899,0
0.344827586206897,0.001,348,58.5488510131836,2533.76611328125,2601.59936523438,56.7999992370605,740.828918457031,6.72368431091309,0.0025045,0
0.344827586206897,0.0344827586206897,348,58.5488510131836,2533.76611328125,2601.59936523438,56.7999992370605,740.828918457031,6.72368431091309,0.0022821,0
0.344827586206897,0.0689655172413793,348,58.5488510131836,2533.76611328125,2601.59936523438,56.7999992370605,740.828918457031,6.72368431091309,0.001506,0
0.344827586206897,0.103448275862069,348,58.5488510131836,2533.76611328125,2601.59936523438,56.7999992370605,740.828918457031,6.72368431091309,0.001338,0
0.344827586206897,0.137931034482759,348,58.5488510131836,2533.76611328125,2601.59936523438,56.7999992370605,740.828918457031,6.72368431091309,0.0012135,0
0.344827586206897,0.172413793103448,327,59.5474014282227,2606.16137695313,2590.08349609375,57.4500007629395,741.60791015625,6.27368497848511,0.0010672,0
0.344827586206897,0.206896551724138,178,69.4887619018555,3000.29809570313,2563.01171875,69.9499969482422,272.252624511719,39.4842071533203,0.0013581,0
0.344827586206897,0.241379310344828,97,80.0927810668945,2971.09838867188,2250.62719726563,81.1500015258789,290.471069335938,86.5263137817383,0.0010233,0
0.344827586206897,0.275862068965517,70,85.5999984741211,2758.37451171875,2417.02465820313,86.0999984741211,655.831604003906,109.144737243652,0.0013235,0
0.344827586206897,0.310344827586207,44,92.75,2724.53857421875,2581.69116210938,94.25,1785.20764160156,564.155212402344,0.0011796,0
0.344827586206897,0.344827586206897,26,100,2771.13818359375,2872.73876953125,100.900001525879,2697.30541992188,1382.15783691406,0.0009896,0
0.344827586206897,0.379310344827586,15,105.266670227051,2777.71435546875,2915.60009765625,0,0,0,0.0009491,0
0.344827586206897,0.413793103448276,5,113.599998474121,3134,2317.19995117188,0,0,0,0.0009143,0
0.344827586206897,0.448275862068966,1,124,5512.5,5512.5,0,0,0,0.0011032,0
0.344827586206897,0.482758620689655,1,124,5512.5,5512.5,0,0,0,0.0009659,0
0.344827586206897,0.517241379310345,0,NaN,NaN,NaN,0,0,0,0.0009269,0
0.344827586206897,0.551724137931034,0,NaN,NaN,NaN,0,0,0,0.000922,0
0.344827586206897,0.586206896551724,0,NaN,NaN,NaN,0,0,0,0.000921,0
0.344827586206897,0.620689655172414,0,NaN,NaN,NaN,0,0,0,0.0009019,0
0.344827586206897,0.655172413793103,0,NaN,NaN,NaN,0,0,0,0.0010146,0
0.344827586206897,0.689655172413793,0,NaN,NaN,NaN,0,0,0,0.0009262,0
0.344827586206897,0.724137931034483,0,NaN,NaN,NaN,0,0,0,0.0009042,0
0.344827586206897,0.758620689655172,0,NaN,NaN,NaN,0,0,0,0.0009846,0
0.344827586206897,0.793103448275862,0,NaN,NaN,NaN,0,0,0,0.0008974,0
0.344827586206897,0.827586206896552,0,NaN,NaN,NaN,0,0,0,0.0008782,0
0.344827586206897,0.862068965517241,0,NaN,NaN,NaN,0,0,0,0.0008843,0
0.344827586206897,0.896551724137931,0,NaN,NaN,NaN,0,0,0,0.0008683,0
0.344827586206897,0.931034482758621,0,NaN,NaN,NaN,0,0,0,0.0008721,0
0.344827586206897,0.96551724137931,0,NaN,NaN,NaN,0,0,0,0.0009159,0
0.344827586206897,0.999,0,NaN,NaN,NaN,0,0,0,0.0009336,0
0.379310344827586,0.001,250,63.8400001525879,2821.92211914063,2587.146484375,61.0499992370605,670.092102050781,10.871054649353,0.0025439,0
0.379310344827586,0.0344827586206897,250,63.8400001525879,2821.92211914063,2587.146484375,61.0499992370605,670.092102050781,10.871054649353,0.0015901,0
0.379310344827586,0.0689655172413793,250,63.8400001525879,2821.92211914063,2587.146484375,61.0499992370605,670.092102050781,10.871054649353,0.0012814,0
0.379310344827586,0.103448275862069,250,63.8400001525879,2821.92211914063,2587.146484375,61.0499992370605,670.092102050781,10.871054649353,0.0013228,0
0.379310344827586,0.137931034482759,250,63.8400001525879,2821.92211914063,2587.146484375,61.0499992370605,670.092102050781,10.871054649353,0.0011303,0
