paramCombinations_1,paramCombinations_2,paramCombinations_3,paramCombinations_4,numDetectedFeatures,meanScore,varianceLocation_m,varianceLocation_n,meanScoreTop,varianceLocationTop_m,varianceLocationTop_n,computationTime,is_default
region,0.888888888888889,1,4,0,NaN,NaN,NaN,0,0,0,0.0780443,0
region,0.888888888888889,1,5,0,NaN,NaN,NaN,0,0,0,0.0883092,0
region,0.888888888888889,1,6,0,NaN,NaN,NaN,0,0,0,0.0166523,0
region,0.888888888888889,1,7,0,NaN,NaN,NaN,0,0,0,0.0202121,0
region,0.888888888888889,1,8,0,NaN,NaN,NaN,0,0,0,0.0276776,0
region,0.888888888888889,1,9,0,NaN,NaN,NaN,0,0,0,0.0306679,0
region,0.888888888888889,1,10,0,NaN,NaN,NaN,0,0,0,0.0339529,0
region,0.888888888888889,2,3,0,NaN,NaN,NaN,0,0,0,0.0276867,0
region,0.888888888888889,2,4,0,NaN,NaN,NaN,0,0,0,0.0417768,0
region,0.888888888888889,2,5,0,NaN,NaN,NaN,0,0,0,0.0489846,0
region,0.888888888888889,2,6,0,NaN,NaN,NaN,0,0,0,0.0384051,0
region,0.888888888888889,2,7,0,NaN,NaN,NaN,0,0,0,0.0580032,0
region,0.888888888888889,2,8,0,NaN,NaN,NaN,0,0,0,0.0678614,0
region,0.888888888888889,2,9,0,NaN,NaN,NaN,0,0,0,0.0648154,0
region,0.888888888888889,2,10,0,NaN,NaN,NaN,0,0,0,0.0550019,0
region,0.888888888888889,3,3,0,NaN,NaN,NaN,0,0,0,0.0567446,0
region,0.888888888888889,3,4,0,NaN,NaN,NaN,0,0,0,0.0594366,0
region,0.888888888888889,3,5,0,NaN,NaN,NaN,0,0,0,0.0761925,0
region,0.888888888888889,3,6,0,NaN,NaN,NaN,0,0,0,0.0964864,0
region,0.888888888888889,3,7,0,NaN,NaN,NaN,0,0,0,0.102788,0
region,0.888888888888889,3,8,0,NaN,NaN,NaN,0,0,0,0.1446154,0
region,0.888888888888889,3,9,0,NaN,NaN,NaN,0,0,0,0.0830122,0
region,0.888888888888889,3,10,0,NaN,NaN,NaN,0,0,0,0.0846339,0
region,0.888888888888889,4,3,0,NaN,NaN,NaN,0,0,0,0.0775326,0
region,0.888888888888889,4,4,0,NaN,NaN,NaN,0,0,0,0.1116506,0
region,0.888888888888889,4,5,0,NaN,NaN,NaN,0,0,0,0.1269176,0
region,0.888888888888889,4,6,0,NaN,NaN,NaN,0,0,0,0.1705559,0
region,0.888888888888889,4,7,0,NaN,NaN,NaN,0,0,0,0.1690391,0
region,0.888888888888889,4,8,0,NaN,NaN,NaN,0,0,0,0.2272253,0
region,0.888888888888889,4,9,0,NaN,NaN,NaN,0,0,0,0.222649,0
region,0.888888888888889,4,10,0,NaN,NaN,NaN,0,0,0,0.2905762,0
region,1.33333333333333,1,3,0,NaN,NaN,NaN,0,0,0,0.0218716,0
region,1.33333333333333,1,4,0,NaN,NaN,NaN,0,0,0,0.0201314,0
region,1.33333333333333,1,5,0,NaN,NaN,NaN,0,0,0,0.0275626,0
region,1.33333333333333,1,6,0,NaN,NaN,NaN,0,0,0,0.0254388,0
region,1.33333333333333,1,7,0,NaN,NaN,NaN,0,0,0,0.0415256,0
region,1.33333333333333,1,8,0,NaN,NaN,NaN,0,0,0,0.0330661,0
region,1.33333333333333,1,9,0,NaN,NaN,NaN,0,0,0,0.0343992,0
region,1.33333333333333,1,10,0,NaN,NaN,NaN,0,0,0,0.0316437,0
region,1.33333333333333,2,3,0,NaN,NaN,NaN,0,0,0,0.0312537,0
region,1.33333333333333,2,4,0,NaN,NaN,NaN,0,0,0,0.0379894,0
region,1.33333333333333,2,5,0,NaN,NaN,NaN,0,0,0,0.0413361,0
region,1.33333333333333,2,6,0,NaN,NaN,NaN,0,0,0,0.070403,0
region,1.33333333333333,2,7,0,NaN,NaN,NaN,0,0,0,0.0751691,0
region,1.33333333333333,2,8,0,NaN,NaN,NaN,0,0,0,0.0786572,0
region,1.33333333333333,2,9,0,NaN,NaN,NaN,0,0,0,0.1430518,0
region,1.33333333333333,2,10,0,NaN,NaN,NaN,0,0,0,0.0655308,0
region,1.33333333333333,3,3,0,NaN,NaN,NaN,0,0,0,0.0525821,0
region,1.33333333333333,3,4,0,NaN,NaN,NaN,0,0,0,0.0855168,0
region,1.33333333333333,3,5,0,NaN,NaN,NaN,0,0,0,0.0748013,0
region,1.33333333333333,3,6,0,NaN,NaN,NaN,0,0,0,0.0920955,0
region,1.33333333333333,3,7,0,NaN,NaN,NaN,0,0,0,0.0998265,0
region,1.33333333333333,3,8,0,NaN,NaN,NaN,0,0,0,0.1186495,0
region,1.33333333333333,3,9,0,NaN,NaN,NaN,0,0,0,0.1338258,0
region,1.33333333333333,3,10,0,NaN,NaN,NaN,0,0,0,0.1322611,0
region,1.33333333333333,4,3,0,NaN,NaN,NaN,0,0,0,0.1084824,0
region,1.33333333333333,4,4,0,NaN,NaN,NaN,0,0,0,0.1659817,0
region,1.33333333333333,4,5,0,NaN,NaN,NaN,0,0,0,0.1325124,0
region,1.33333333333333,4,6,0,NaN,NaN,NaN,0,0,0,0.180519,0
region,1.33333333333333,4,7,0,NaN,NaN,NaN,0,0,0,0.1911906,0
region,1.33333333333333,4,8,0,NaN,NaN,NaN,0,0,0,0.2600967,0
region,1.33333333333333,4,9,0,NaN,NaN,NaN,0,0,0,0.2174126,0
region,1.33333333333333,4,10,0,NaN,NaN,NaN,0,0,0,0.2789585,0
region,1.77777777777778,1,3,0,NaN,NaN,NaN,0,0,0,0.0195525,0
region,1.77777777777778,1,4,0,NaN,NaN,NaN,0,0,0,0.0206839,0
region,1.77777777777778,1,5,0,NaN,NaN,NaN,0,0,0,0.0166087,0
region,1.77777777777778,1,6,0,NaN,NaN,NaN,0,0,0,0.0280551,0
region,1.77777777777778,1,7,0,NaN,NaN,NaN,0,0,0,0.0393861,0
region,1.77777777777778,1,8,0,NaN,NaN,NaN,0,0,0,0.0263572,0
region,1.77777777777778,1,9,0,NaN,NaN,NaN,0,0,0,0.0336056,0
region,1.77777777777778,1,10,0,NaN,NaN,NaN,0,0,0,0.0329249,0
region,1.77777777777778,2,3,0,NaN,NaN,NaN,0,0,0,0.0323787,0
region,1.77777777777778,2,4,0,NaN,NaN,NaN,0,0,0,0.0453138,0
region,1.77777777777778,2,5,0,NaN,NaN,NaN,0,0,0,0.0533376,0
region,1.77777777777778,2,6,0,NaN,NaN,NaN,0,0,0,0.0463843,0
region,1.77777777777778,2,7,0,NaN,NaN,NaN,0,0,0,0.067222,0
region,1.77777777777778,2,8,0,NaN,NaN,NaN,0,0,0,0.0552014,0
