paramCombinations_1,paramCombinations_2,paramCombinations_3,numDetectedFeatures,meanScore,varianceLocation_m,varianceLocation_n,meanScoreTop,varianceLocationTop_m,varianceLocationTop_n,computationTime,is_default
112,2,5,476,770.775146484375,2169.93115234375,3454.09204101563,5433.05810546875,2299.95092773438,2342.60791015625,0.0136855,0
112,2,6,527,768.807189941406,2195.5341796875,3440.82885742188,6001.5615234375,2477.16479492188,2061.71850585938,0.0129301,0
112,3,3,240,771.443725585938,2201.13891601563,3574.82006835938,3644.37109375,2292.74169921875,2478.36645507813,0.0078315,0
112,3,4,410,765.153991699219,2157.55590820313,3480.80200195313,4953.953125,2652.17260742188,2567.76171875,0.011795,0
112,3,5,489,768.290588378906,2137.68725585938,3421.81323242188,5433.05810546875,2299.95092773438,2342.60791015625,0.0131462,0
112,3,6,540,766.604431152344,2165.82153320313,3412.38208007813,6001.5615234375,2477.16479492188,2061.71850585938,0.0150821,0
112,4,3,240,771.443725585938,2201.13891601563,3574.82006835938,3644.37109375,2292.74169921875,2478.36645507813,0.009136,0
112,4,4,410,765.153991699219,2157.55590820313,3480.80200195313,4953.953125,2652.17260742188,2567.76171875,0.0140605,0
112,4,5,489,768.290588378906,2137.68725585938,3421.81323242188,5433.05810546875,2299.95092773438,2342.60791015625,0.0187119,0
112,4,6,540,766.604431152344,2165.82153320313,3412.38208007813,6001.5615234375,2477.16479492188,2061.71850585938,0.0141473,0
223,1,3,140,864.498168945313,2493.521484375,3409.61962890625,2671.83837890625,2889.48803710938,2251.193359375,0.0057948,0
223,1,4,244,895.982482910156,2322.88500976563,3323.37670898438,3565.60888671875,2885.74829101563,2227.29370117188,0.0071413,0
223,1,5,301,881.762451171875,2259.462890625,3234.45166015625,3958.861328125,2943.52514648438,2594.56567382813,0.008796,0
223,1,6,327,899.714538574219,2290.84594726563,3226.7216796875,4560.73046875,2841.32006835938,2482.78930664063,0.0099205,0
223,2,3,176,962.77734375,2309.60864257813,3317.97973632813,3644.37109375,2292.74169921875,2478.36645507813,0.0076798,0
223,2,4,298,971.238891601563,2165.54541015625,3254.51635742188,4953.953125,2652.17260742188,2567.76171875,0.0119194,0
223,2,5,362,962.679626464844,2115.13232421875,3176.08862304688,5433.05810546875,2299.95092773438,2342.60791015625,0.0162313,0
223,2,6,396,970.260009765625,2129.53930664063,3165.509765625,6001.5615234375,2477.16479492188,2061.71850585938,0.0114578,0
223,3,3,184,957.464660644531,2263.7314453125,3305.30249023438,3644.37109375,2292.74169921875,2478.36645507813,0.0092004,0
223,3,4,308,965.510375976563,2132.15185546875,3238.65161132813,4953.953125,2652.17260742188,2567.76171875,0.0092821,0
223,3,5,373,957.116638183594,2083.03540039063,3156.0732421875,5433.05810546875,2299.95092773438,2342.60791015625,0.0110227,0
223,3,6,407,964.956665039063,2099.82788085938,3147.57104492188,6001.5615234375,2477.16479492188,2061.71850585938,0.0132341,0
223,4,3,184,957.464660644531,2263.7314453125,3305.30249023438,3644.37109375,2292.74169921875,2478.36645507813,0.0074013,0
223,4,4,308,965.510375976563,2132.15185546875,3238.65161132813,4953.953125,2652.17260742188,2567.76171875,0.0107632,0
223,4,5,373,957.116638183594,2083.03540039063,3156.0732421875,5433.05810546875,2299.95092773438,2342.60791015625,0.0112569,0
223,4,6,407,964.956665039063,2099.82788085938,3147.57104492188,6001.5615234375,2477.16479492188,2061.71850585938,0.0130114,0
334,1,3,104,1069.33618164063,2589.6708984375,3226.15844726563,2671.83837890625,2889.48803710938,2251.193359375,0.0055078,0
334,1,4,189,1077.38806152344,2335.9814453125,3188.58374023438,3565.60888671875,2885.74829101563,2227.29370117188,0.006613,0
334,1,5,229,1073.68676757813,2324.24682617188,3149.62426757813,3958.861328125,2943.52514648438,2594.56567382813,0.0084427,0
334,1,6,250,1092.85559082031,2324.66674804688,3147.84594726563,4560.73046875,2841.32006835938,2482.78930664063,0.0083043,0
334,2,3,135,1171.04357910156,2389.95166015625,3155.75268554688,3644.37109375,2292.74169921875,2478.36645507813,0.0072426,0
334,2,4,233,1165.52014160156,2187.93139648438,3133.00415039063,4953.953125,2652.17260742188,2567.76171875,0.0083616,0
334,2,5,278,1171.0048828125,2182.44018554688,3110.79125976563,5433.05810546875,2299.95092773438,2342.60791015625,0.0106697,0
334,2,6,307,1172.03833007813,2163.7978515625,3104.05590820313,6001.5615234375,2477.16479492188,2061.71850585938,0.0104217,0
334,3,3,143,1152.55627441406,2326.66284179688,3143.65283203125,3644.37109375,2292.74169921875,2478.36645507813,0.0081108,0
334,3,4,243,1150.26379394531,2144.60302734375,3115.763671875,4953.953125,2652.17260742188,2567.76171875,0.0087728,0
334,3,5,289,1155.89538574219,2138.31640625,3085.98876953125,5433.05810546875,2299.95092773438,2342.60791015625,0.0105146,0
334,3,6,318,1158.27099609375,2124.4765625,3081.98852539063,6001.5615234375,2477.16479492188,2061.71850585938,0.013559,0
