paramCombinations_1,paramCombinations_2,paramCombinations_3,paramCombinations_4,numDetectedFeatures,meanScore,varianceLocation_m,varianceLocation_n,meanScoreTop,varianceLocationTop_m,varianceLocationTop_n,computationTime,is_default
0,1,3,1.55555555555556,0,NaN,NaN,NaN,0,0,0,0.008281375,0
0,1,3,1.66666666666667,0,NaN,NaN,NaN,0,0,0,0.008336873,0
0,1,3,1.77777777777778,0,NaN,NaN,NaN,0,0,0,0.008915306,0
0,1,3,1.88888888888889,0,NaN,NaN,NaN,0,0,0,0.008897528,0
0,1,3,2,0,NaN,NaN,NaN,0,0,0,0.008979936,0
0,1,4,1,0,NaN,NaN,NaN,0,0,0,0.00845971,0
0,1,4,1.11111111111111,0,NaN,NaN,NaN,0,0,0,0.008713516,0
0,1,4,1.22222222222222,0,NaN,NaN,NaN,0,0,0,0.009278529,0
0,1,4,1.33333333333333,0,NaN,NaN,NaN,0,0,0,0.008608734,0
0,1,4,1.44444444444444,0,NaN,NaN,NaN,0,0,0,0.008806665,0
0,1,4,1.55555555555556,0,NaN,NaN,NaN,0,0,0,0.009223346,0
0,1,4,1.66666666666667,0,NaN,NaN,NaN,0,0,0,0.010407394,0
0,1,4,1.77777777777778,0,NaN,NaN,NaN,0,0,0,0.009638173,0
0,1,4,1.88888888888889,0,NaN,NaN,NaN,0,0,0,0.009501731,0
0,1,4,2,0,NaN,NaN,NaN,0,0,0,0.009933377,0
0,1,5,1,0,NaN,NaN,NaN,0,0,0,0.009092647,0
0,1,5,1.11111111111111,0,NaN,NaN,NaN,0,0,0,0.009138675,0
0,1,5,1.22222222222222,0,NaN,NaN,NaN,0,0,0,0.008961609,0
0,1,5,1.33333333333333,0,NaN,NaN,NaN,0,0,0,0.009594529,0
0,1,5,1.44444444444444,0,NaN,NaN,NaN,0,0,0,0.010079603,0
0,1,5,1.55555555555556,0,NaN,NaN,NaN,0,0,0,0.010188066,0
0,1,5,1.66666666666667,0,NaN,NaN,NaN,0,0,0,0.010237511,0
0,1,5,1.77777777777778,0,NaN,NaN,NaN,0,0,0,0.01042834,0
0,1,5,1.88888888888889,0,NaN,NaN,NaN,0,0,0,0.010801566,0
